Equipment Name,Type,Flowrate,Pressure,Temperature
Heater-1,Heater,20.68,6.31,223.61
Valve-2,Valve,24.65,7.06,115.7
Pump-3,Heater,11.62,4.7,191.92
Reactor-4,Pump,14.21,4.73,270.21
Valve-5,Heater,12.91,8.46,244.13
Reactor-6,Reactor,15.53,5.65,187.83
Pump-7,Heater,16.53,6.56,249.0
Reactor-8,Heater,20.54,8.92,272.0
Heater-9,Heater,21.92,7.6,214.4
Pump-10,Pump,18.81,3.69,110.61
Valve-11,Heater,16.96,4.63,220.42
Reactor-12,Heater,11.61,4.65,260.55
Valve-13,Pump,15.46,3.86,272.13
Heater-14,Valve,15.5,6.59,290.65
Valve-15,Pump,10.46,8.08,277.65
Pump-16,Valve,16.22,7.16,187.36
Pump-17,Reactor,12.87,9.78,331.27
Heater-18,Pump,7.3,7.38,233.29
Heater-19,Valve,15.61,5.64,189.13
Valve-20,Pump,21.95,7.89,249.28
Heater-21,Valve,22.23,5.5,160.46
Reactor-22,Valve,13.51,3.77,205.1
Reactor-23,Reactor,8.97,6.59,163.42
Heater-24,Reactor,5.51,3.61,165.46
Pump-25,Heater,8.08,8.64,198.93
Heater-26,Reactor,24.91,5.86,260.4
Heater-27,Valve,11.02,3.63,314.6
Pump-28,Valve,7.32,7.73,133.23
Valve-29,Valve,6.54,3.45,159.05
Reactor-30,Valve,23.07,7.47,256.03
Reactor-31,Valve,23.84,7.35,118.48
Pump-32,Valve,11.41,8.47,278.79
Reactor-33,Pump,14.63,4.27,237.19
Heater-34,Valve,10.98,3.44,144.29
Pump-35,Reactor,6.91,7.82,181.95
Heater-36,Heater,7.86,9.5,181.2
Valve-37,Valve,13.81,5.54,194.42
Reactor-38,Pump,20.87,6.21,334.07
Heater-39,Heater,6.58,5.47,207.84
Valve-40,Heater,16.08,9.78,180.89
Heater-41,Reactor,14.02,6.13,287.56
Heater-42,Pump,24.93,3.51,269.87
Pump-43,Heater,20.35,5.22,259.65
Valve-44,Reactor,11.52,4.15,311.09
Reactor-45,Pump,20.36,3.46,311.35
Reactor-46,Heater,12.03,8.19,247.62
Valve-47,Heater,23.88,8.1,253.49
Pump-48,Heater,5.27,3.27,202.61
Pump-49,Valve,17.52,9.72,137.48
Reactor-50,Reactor,5.25,6.23,274.58
