Equipment Name,Type,Flowrate,Pressure,Temperature
Reactor-1,Heater,23.64,8.33,213.34
Heater-2,Reactor,13.69,8.09,259.87
Reactor-3,Pump,5.5,6.09,158.32
Pump-4,Heater,17.14,6.46,311.4
Valve-5,Pump,15.94,5.28,127.59
Reactor-6,Valve,20.43,7.87,178.26
Pump-7,Heater,16.51,4.85,304.96
Reactor-8,Heater,10.08,5.48,185.61
Valve-9,Valve,16.18,5.51,180.42
Valve-10,Valve,13.59,9.5,178.74
Pump-11,Valve,22.5,7.51,190.55
Reactor-12,Valve,23.94,4.17,319.17
Reactor-13,Heater,21.46,4.0,115.59
Reactor-14,Heater,24.87,5.38,129.1
Valve-15,Pump,11.2,7.13,297.41
Pump-16,Heater,23.83,6.53,156.51
Pump-17,Valve,21.52,8.75,308.89
Pump-18,Valve,15.06,5.67,252.75
Reactor-19,Reactor,11.57,7.75,288.98
Heater-20,Pump,7.44,3.98,113.17
Heater-21,Valve,24.01,5.67,288.99
Reactor-22,Valve,8.3,8.22,212.81
Reactor-23,Pump,14.43,9.56,150.48
Pump-24,Pump,24.51,8.54,175.0
Reactor-25,Heater,11.16,5.32,111.88
Reactor-26,Reactor,11.71,5.12,250.24
Heater-27,Pump,18.77,3.84,263.79
Pump-28,Pump,13.67,6.42,316.18
Reactor-29,Pump,18.93,8.96,198.79
Reactor-30,Valve,13.67,3.45,231.02
Heater-31,Reactor,6.74,6.21,206.53
Heater-32,Heater,6.41,5.25,277.18
Reactor-33,Heater,10.22,5.21,168.63
Reactor-34,Valve,24.32,8.01,220.39
Heater-35,Valve,20.85,8.96,335.94
Valve-36,Valve,16.93,7.64,216.81
Pump-37,Reactor,22.34,6.15,241.43
Valve-38,Heater,21.53,8.35,101.88
Heater-39,Pump,13.72,3.3,348.13
Heater-40,Heater,14.56,3.87,177.75
Reactor-41,Valve,15.11,7.54,152.22
Reactor-42,Valve,5.97,6.86,188.41
Heater-43,Reactor,15.37,9.13,124.0
Valve-44,Heater,7.75,5.2,342.7
Heater-45,Reactor,16.65,4.52,117.9
Reactor-46,Heater,21.82,5.63,173.23
Pump-47,Pump,7.79,6.01,284.19
Valve-48,Pump,10.03,6.99,240.13
Pump-49,Pump,24.65,5.6,263.27
Heater-50,Heater,21.24,9.23,250.26
